50 50 0
6 80 10
96 23 10
80 63 9
68 27 3
86 32 10
93 41 10
63 19 5
97 36 6
71 79 1
48 59 9
57 99 7
49 98 4
83 12 4
5 98 10
84 23 7
16 27 7
2 56 2
55 32 6
7 16 5
45 4 6
31 13 2
71 91 8
85 1 4
62 12 7
76 27 4
42 26 6
99 17 5
9 83 3
47 77 5
56 19 7
80 47 4
65 32 5
18 55 1
75 38 5
71 34 3
66 26 9
17 27 3
77 64 3
35 84 6
22 12 3
62 52 4
0 98 8
56 70 6
59 70 7
82 20 6
79 89 4
19 78 6
46 40 8
90 79 8
31 6 4
78 53 79 2
83 41 56 9
89 62 53 3
37 0 63 3
83 11 97 5
37 92 57 3
57 16 7 5
38 7 47 3
49 66 27 10
98 79 67 8
75 8 38 10
91 30 7 3
73 22 18 4
59 64 29 7
27 86 14 10
79 99 98 7
47 39 51 1
73 5 84 2
59 44 87 3
61 20 91 1
20 2 23 1
9 63 24 1
34 21 64 2
51 24 71 1
39 73 23 3
78 80 8 7
98 33 11 10
88 71 2 9
93 60 14 4
6 60 71 2
78 62 93 10
96 77 7 10
76 38 48 10
26 20 76 1
68 13 63 3
89 56 40 1
77 22 4 7
86 50 54 4
85 87 74 1
53 75 60 1
70 73 68 3
83 28 41 9
93 27 91 4
33 29 54 6
58 86 5 1
26 10 7 6
18 74 51 8
10 94 14 3
7 14 98 3
92 55 58 8

50 50 50 100
