50 50 50
28 56 32
44 85 50
36 97 44
27 47 45
70 44 18
35 26 18
48 5 15
99 58 7
70 35 8
94 55 26
26 57 2
55 80 48
85 39 23
50 13 5
99 35 7
31 45 16
9 44 1
56 24 47
92 7 23
42 82 44
3 34 2
27 67 31
70 57 27
63 78 36
27 75 4
70 55 45
54 24 3
94 20 35
89 90 50
47 23 10
25 57 14
48 85 30
17 37 38
21 29 17
5 80 12
24 46 9
65 58 34
22 66 10
45 33 8
27 24 30
88 35 29
37 74 44
59 41 2
60 79 45
94 89 2
99 96 10
85 70 31
66 45 47
92 4 43
46 33 8
48 49 61 24
57 99 16 22
22 32 85 2
58 54 47 9
47 53 82 24
19 81 30 30
36 42 15 49
69 9 24 23
22 34 21 7
86 65 86 49
5 30 64 41
1 93 78 44
85 69 32 9
98 50 58 32
31 39 68 44
99 16 27 6
28 78 86 43
50 79 58 41
49 92 43 16
87 77 49 11
48 40 71 26
38 45 39 35
1 13 30 49
20 3 73 4
33 76 65 30
11 76 100 25
19 85 8 45
88 2 51 40
54 86 71 15
74 48 12 34
60 9 47 42
81 58 49 47
1 61 20 9
67 60 74 15
99 70 39 22
45 77 2 45
44 68 64 33
50 69 26 7
24 89 43 5
32 83 58 18
8 57 45 25
33 0 99 5
92 66 88 39
27 70 4 49
3 21 36 39
29 35 11 8
37 61 20 41
3 73 74 45
40 35 4 23
19 13 49 7
35 70 43 96
86 1 58 50
40 68 8 11
74 64 46 69
46 29 35 48
44 88 70 97
92 94 78 86
74 82 75 99
94 49 91 12
17 19 35 35
69 1 41 44
0 4 3 32
65 51 53 56
14 24 5 15
51 33 42 84
39 2 39 24
57 72 57 87
44 72 37 76
45 52 41 50
7 23 2 21
87 43 70 77
3 55 11 99
8 50 8 38
22 69 32 80
26 67 27 54
88 83 92 58
9 32 7 29
87 52 83 64
20 81 11 75
80 86 96 84
82 24 87 0
67 68 58 71
87 26 97 68
77 94 80 88
39 45 65 4
29 23 45 25
69 46 65 38
83 36 90 12
70 16 61 39
18 87 36 82
30 73 28 48
6 20 17 47
11 81 1 43
7 25 0 38
42 65 44 53
85 19 74 63
90 9 81 42
66 75 67 91
18 41 22 53
38 57 20 26
