20 20 20
23 16 10
29 7 7
12 28 10
28 5 2
4 9 1
26 13 10
0 19 3
19 15 2
1 3 8
4 27 3
17 19 9
7 21 7
26 11 5
20 22 9
16 3 5
29 24 3
8 7 3
22 1 6
1 10 7
27 6 7
2 18 3 2
26 20 26 4
8 13 33 1
11 8 50 8
2 23 37 7
2 25 39 5
15 1 36 9
22 22 10 2
2 13 20 5
4 7 13 8
22 27 22 3
28 1 14 7
8 9 34 6
9 8 24 8
27 1 11 6
2 17 6 1
4 20 39 10
9 2 49 8
1 19 9 7
28 24 24 1
8 29 24 10
21 23 18 24
20 7 6 9
8 4 15 2
18 17 14 15
20 15 16 23
21 8 4 11
13 10 18 13
16 18 14 21
12 24 1 8
4 12 14 18
22 2 13 7
17 22 29 14
1 22 1 22
17 27 13 27
1 6 16 5
26 0 5 0
26 10 29 9
22 23 23 24
18 3 28 0

50 50 0 100
